label,sentence
NAME,"THE NEW PIECEGOODS BAZAR CO., LTD.,BOMBAY vs THE COMMISSIONER OF INCOME-TAX,BOMBAY on 26 May, 1950 "
CITATION,"Equivalent citations: 1950 AIR 165, 1950 SCR 553 "
CITATION,Appeal No. LXVI of 1949. 
STATUTE,"Appeal from the High Court of judicature, Bombay, in a reference under section 66 of the Indian Income tax Act, 1022. "
COUNSEL,"K.M. Munshi (N. P. Nathvani, with him), for the appel lant. ' M.C. Setalvad, Attorney General for India (H. J. Umrigar, with him), for the respondent. 1950."
JUDGE,The judgment of the Court was delivered by MEHR CHAND MAHAJAN J.
RLC,This is an appeal against a judgment of the High Court of Judicature at Bombay in an income tax matter and it raises the question whether munici pal property tax and urban immoveable property tax payable under the relevant Bombay Acts are allowable deductions under section 9 (1) (iv) of the Indian Income tax Act. 
FACTS,The assessee company is an investment company deriving its income from properties in the city of Bombay. 
FACTS,"For the assessment year 1940 41 the net income of the assessee under the head ""property"" was computed by the Income tax Officer in the sum of Rs. 6,21,764 after deducting from gross rents certain payments.  "
FACTS,"The company had paid during the relevant year Rs. 1,22,675 as municipal property tax and Rs. 32,760 as urban property tax."
STATUTE,Deduction of these two sums was claimed under the provisions of section 9 the Act.
RLC,"Out of the first item a deduction in the sum of Rs. 48,572 was allowed on the ground that this item represented tenants ' burdens paid by the assessee, otherwise the claim was disallowed"
FACTS,The appeals of the assessee to the Appellate Assistant Commissioner and to the Income tax Appellate Tribunal were unsuccessful. 
RLC,The High Court answered all the three questions in the negative and hence this appeal.
STATUTE,"The decision of the point depends firstly on the construction of the language employed in sub clause (iv) of sub section (1) of section 9 of the Act, and secondly, on a finding as to the true nature and character of the liability of the owner under the relevant Bombay Acts for the payment of these taxes. "
STATUTE,"Before the amending Act of 1939, clause (iv) contained only the first, third and fourth sub clauses. "
REASONING,Under the first sub clause interest is deductible whether the amount borrowed on the security of the property was spent on the property or not. 
REASONING,There is no question of any capital or other expenditure on the property. 
REASONING,"The expression ""capital charge"" in the sub clause cannot connote a charge on the capital, that is, the property assessed. "
REASONING,That would be a redundancy as the opening words themselves clearly indicate that the charge is on the property.
RPC,"We are therefore of opinion that capital charge here could only mean a charge created for a capital sum, i.e., a charge to secure the discharge of a liability of a capital nature. "
PRECEDENT,In 1933 the Privy Council decided the case of Bijoy Singh. 
PRECEDENT,"Dudhuria vs Commissioner of Income tax, Calcutta (1 ). "
PRECEDENT,It was not an assessment under section 9 but an assessment on the general income of an assessee who was liable to pay maintenance for his step mother which had been charged on all his assets by a decree of Court. 
PRECEDENT,It was not a liability voluntarily incurred by him but one cast on him by law.
PRECEDENT,The Privy Council held that the amount paid by him in discharge of that liability formed no part of his real income and so should not be included in his assessment. 
PRECEDENT,"Though the decision proceeded on the principle that the outgoings were not part of the assessee 's income at all, the framers of the amending Act of 1939 wanted, apparently, to extend the principle, so far as the assessment of property was concerned, even to cases where obligatory payments had to be made out of the assessee 's income from the property charged with such payments, and the second sub clause, namely, ""where the property is subject to an annual charge not being a capital charge, the amount of such charge"" was added. "
ARG,It is this sub clause which the appellant invokes in support of its claim to deduction of the municipal and urban property taxes in the present case. 
REASONING,"In view of the opening words of the newly added sub clause, the expression ""capital charge"" also used therein cannot have reference to a charge on the property, and we think it must (1) I.L.R. 60 cal."
REASONING,"557 be understood in the same sense as in sub clause (1); that is to say, the first sub clause having provided for deduc tion of interest where a capital sum is charged on the property, this sub clause provides for a deduction of annual sums so charged, such sums not being capital sums, the limiting words being intended to exclude cases where capital raised on the security of the property is made repayable in instalments. "
PRECEDENT,"In Commissioner of Income tax, Bombay vs Mahomedbhoy Rowji (1), a Bench of the Bombay High Court considered the meaning of these words. "
PRECEDENT,"It is therefore clear that there is no conflict of judicial deci sions as to the meaning of the phrase ""annual charge"" occur ring in section 3 (1) (iv) and the meaning given is the natural meaning of these words."
PRECEDENT,"As to the phrase ""capital charge"", Beaumont C.J. in the case above referred to took the view that the words mean a charge on capital. "
PRECEDENT,"Kania J., however, took a different view and observed that he was not prepared to accept the sugges tion that a document which provides for a certain payment to be made monthly or annually and charged on immoveable property or the estate of an individual becomes a capital charge."
PRECEDENT,In the Allahabad judgment under appeal these (1) I.L.R. (2) I.L.R. 1944 All.
PRECEDENT,558 words were considered as not meaning a charge on capital. 
PRECEDENT,"It was said that if an annual charge means a charge to secure the discharge of an annual liability, then, capital charge means a charge to secure the discharge of a liability of a capital nature. "
RPC,We think this construction is a natu ral construction of the section and is right. 
RPC,"The determination of the point whether the taxes in dispute fall within the ambit of the phrase ""annual charge not being a capital charge"" depends on the provisions of the statutes under which they are levied."
STATUTE,"Section 143 of the City of Bombay Municipal Act, 1888, authorises the levy of a general tax on all buildings and lands in the city. "
STATUTE,The primary responsibility to pay this property tax is on the lessor (vide section 146 of the Act). 
STATUTE,In order to assess the tax provision has been made for the determination of the annual rateable value of the building in section 154. 
STATUTE,"Section 156 provides for the maintenance of an assessment book in which entries have to be made every official year of all buildings in the city, their rateable value, the names of persons primarily liable for payment of the property tax on such buildings and of the amount for which each building has been assessed."
STATUTE,These sections lay down a procedure for hearing objections and complaints against entries in the assessment book. 
REASONING,From these provisions it is clear that the liability for the tax is determined at the beginning of each official year and the tax is an annual one.
STATUTE,"Sections 143to 168 concern themselves with the imposition, liability and assessment of the tax for the year."
STATUTE,""" Section 197 provides that each of the property taxes shall be payable in 559 advance in half yearly instalments on each first day of April and each first day of October. "
STATUTE,"Finally section 212 provides as follows : ""Property taxes due under this Act in respect of any building or land shall, subject to the prior payment of the land revenue, if any, due to the provincial ,Government thereupon, be a first charge . . upon the said build ing or land . "" It creates a statutory charge on the building. "
STATUTE,"Urban immove able property tax is leviable under section 22 of Part VI of the Bombay Finance Act, 1932,on the annual letting value of the property. "
STATUTE,Section 24 (2) (b) is in terms similar to section 212 of the Bombay Municipal Act. 
STATUTE,"For the purposes of section 9 of the Indian Income tax Act both these taxes, namely, the munici pal property tax as well as the urban immoveable property tax are of the same character and stand on the same footing."
ARG,"Mr. Munshi, the learned counsel for the appellant con tended that both the taxes are assessed on the annual value of the land or the building and are annual taxes, although it may be that they are collected at intervals of six months for the sake of convenience, that the income tax itself is assessed on an annual basis, that in allowing deductions all payments made or all liabilities incurred during the previ ous year of assessment should be allowed and that the taxes in question fell clearly within the language of section 9 (1) (iv). "
ARG,"The learned Attorney General, on the other hand, argued that although the taxes are assessed for the year the liability to pay them arises at the beginning 560 of each half year and unless a notice of demand is issued and a bill presented there is no liability to pay them and that till then no charge under section 212 of the Act could possibly arise and that the liability to pay being half yearly in advance, the charge is not an annual charge. "
ARG,It was also suggested that the taxes were a capital charge in the sense of the property being security for the payment. 
REASONING,The annual liability can be discharged by half yearly instalments. 
REASONING,"The liability being an annual one and the property having been subjected to it, the provisions of clause (iv) of subsection (1) of section 9 are immediately attracted. "
REASONING,"Great emphasis was laid on the word""due"" used in section 212 of the Municipal Act and it was said that as the taxes do not become due under the Act unless the time for the payment arrives, no charge comes into existence till then and that the charge is not an annual charge."
REASONING,We do not think that this is a correct construction of section 212.
REASONING,"The words ""property taxes due under this Act"" mean property taxes for which a person is liable under the Act. "
REASONING,Taxes payable during the year have been made a charge on the property. 
REASONING,The liability and the charge both co-exist and are co extensive.
REASONING,The provisions of the Act affording facilities for the discharge of the liability do not in any way affect their true nature and character. 
REASONING,"If the annual liability is not discharged in the manner laid down by section 197, can it be said that the property cannot be sold for recovery of the whole amount due for the year ? The answer to this query can only be in the affirmative, i.e., that the property is liable to sale."
PRECEDENT,"In Commissioner of Income tax, Bombay vs Mahomedbhoy Rowji(1) Beaumont C.J., while rejecting the claim for the deduction of the taxes, placed reliance on (1) I.L.R. 561 section 9 (1) (v) which allows a deduction in respect of any sums paid on account of land revenue. "
PRECEDENT,It was observed that land revenue stands on the same footing as municipal taxes and that as the legislature made a special provision for deduction of sums payable in regard to land revenue but not in respect of sums paid on account of municipal taxes that circumstance indicated that the deduction was not allowable. 
PRECEDENT,"For the same purpose reference was also made to the provi sions of section 10 which deal with business allowances and wherein deduction of any sum paid on account of land reve nue, local rates or municipal taxes has been allowed."
PRECEDENT,In the concluding part of his judgment the learned Chief Jus tice said that it was not necessary for him to consider what the exact meaning of the words was and that it was suffi cient for him to say that it did not cover municipal taxes which are made a charge on the property under section 212 of the Bombay Municipal Act. 
REASONING,Without determining the exact meaning of the words used by the statute it seems to us it was not possible to arrive at the conclusion that the taxes were not within the ambit of the clause. 
REASONING,It is elementary that the primary duty of a Court is to give effect to the intention of the legislature as expressed in the words used by it and no outside consideration can be called in aid tO find that intention.  
REASONING,"Again reference to clause (v) of the section is not very helpful because land revenue is a charge of a paramount nature on all buildings and lands and that being so, a deduction in respect of the amount was mentioned in express terms.  "
REASONING,The law as to them varies from province to province and they may not be necessarily a charge on property in all cases. 
REASONING,"The legislature seems to have thought that so far as municipal taxes on property are concerned, if they fall within the ambit of clause (iv), deduction will be claimable in respect of them but not otherwise. "
REASONING,"562 Kania J. in the above case in arriving at his conclusion was influenced by the consideration that these taxes were of a variable character, i.e., liable to be increased or reduced under the various provisions of the Municipal Act and that the charge was in the nature of a contingent charge."
REASONING,"With great respect, it may be pointed out that all charges in a way may be or are of a variable and contingent nature. "
REASONING,"If no default is made, no charge is ever enforceable and whenever there is a charge, it can be increased or reduced during the year either by payment or by additional borrowing."
PRECEDENT,"In Moss Empires Ltd. vs Inland Revenue Commissioners (1) it was held by the House of Lords that the fact that certain payments were contingent and variable in amount did not affect their character of being annual payments and that the word, ""annual"" must be taken to have the quality of being recurrent or being capable of recurrence. "
PRECEDENT,"In Cunard 's Trustees vs Inland Revenue Commissioners (2) it was held that the payments were capable of being recur rent and were therefore annual payments within the meaning of schedule D, case III, rule 1 (1), even though they were not necessarily recurrent year by year and the fact that they varied in amount was immaterial. "
RPC,The Allahabad High Court (1) (2) [1948] 1 A.E.R. 150. (3) I.L.R. (4) I.L.R. 563 in Gappumal Kanhaiya Lal vs Commissioner of Incometax (1) (the connected appeal) took a correct view of this matter and the reasoning given therein has our approval. -
RPC,The result is that this appeal is allowed and the two questions which were referred to the High Court by the Income tax Tribunal and cited above are answered in the affirmative. 
RPC,The appellants will have their costs in the appeal.
RPC,Appeal allowed. 
NAME,"Mangan Lal Deoshi vs Mohammad Moinul Haoque & Others on 1 December, 1950"
CITATION,"Equivalent citations: 1951 AIR 11, 1950 SCR 833"
COUNSEL,"S.P. Sinha (P. K. Bose, with him) for the appel lant."
COUNSEL,"N.C. Chatterjee and Panchanan Ghosh (Chandra Narayan Naik, with them) for the respondent. 1950."
