label,sentence
NAME,new piecegoods bazar co limited bombay v commissioner income bombay 26 1950
CITATION,equivalent citation 1950 all india reporter 165 1950 supreme court reporter 553
CITATION,appeal number 66 1949
STATUTE,appeal high court judicature bombay reference section 66 indian income act 1022
COUNSEL,km munshi np nathvani appel lant mc setalvad attorney general india hj umrigar respondent 1950
JUDGE,judgment court delivered mehr chand mahajan j
RLC,appeal judgment high court judicature bombay income matter raise whether munici pal property urban immoveable property payable relevant bombay act allowable deduction section 9 1 4 indian income act
STATUTE,deduction two sum claimed section 9 act
RLC,first item deduction sum r 48 572 allowed ground item represented tenant burden paid assessee otherwise claim disallowed
RLC,high court answered three question negative hence appeal
STATUTE,decision point depends firstly construction language employed sub clause 4 sub section 1 section 9 act secondly finding true nature character liability owner relevant bombay act payment tax
STATUTE,amending act 1939 clause 4 contained first third fourth sub clause
ARG,sub clause appellant invokes support claim deduction municipal urban property tax present
STATUTE,section 143 city bombay municipal act 1888 authorises levy general building land city
STATUTE,primary responsibility pay property lessor vide section 146 act
STATUTE,ass provision determination annual rateable value building section 154
STATUTE,section 156 provides maintenance assessment book entry every official year building city rateable value name person primarily liable payment property building amount building assessed
STATUTE,section lay procedure hearing objection complaint entry assessment book
STATUTE,section 143to 168 concern imposition liability assessment year
STATUTE,section 197 provides property tax payable 559 advance half yearly instalment first day april first day october
STATUTE,finally section 212 provides follows property tax due act respect building land subject prior payment land revenue due provincial government thereupon first charge upon build ing land creates statutory charge building
STATUTE,urban immove able property leviable section 22 part sixth bombay finance act 1932 annual letting value property
STATUTE,section 24 2 b term similar section 212 bombay municipal act
STATUTE,purpose section 9 indian income act tax namely munici pal property well urban immoveable property character stand footing
ARG,mister munshi learned counsel appellant con tended tax assessed annual value land building annual tax although collected interval six month sake convenience income assessed annual basis allowing deduction payment liability incurred previ ous year assessment allowed tax fell clearly within language section 9 1 4
ARG,learned attorney general hand argued although tax assessed year liability pay arises beginning 560 half year unless notice demand issued bill presented liability pay till charge section 212 act possibly arise liability pay half yearly advance charge annual charge
ARG,suggested tax capital charge sense property security payment
NAME,mangan lal deoshi v mohammad moinul haoque others 1 december 1950
CITATION,equivalent citation 1951 all india reporter 11 1950 supreme court reporter 833
COUNSEL,sp sinha pk bose appel lant
