label,sentence
NAME,"THE NEW PIECEGOODS BAZAR CO., LTD.,BOMBAY vs THE COMMISSIONER OF INCOME-TAX,BOMBAY on 26 May, 1950 "
CITATION,"Equivalent citations: 1950 AIR 165, 1950 SCR 553 "
CITATION,Appeal No. LXVI of 1949. 
STATUTE,"Appeal from the High Court of judicature, Bombay, in a reference under section 66 of the Indian Income tax Act, 1022. "
COUNSEL,"K.M. Munshi (N. P. Nathvani, with him), for the appel lant. ' M.C. Setalvad, Attorney General for India (H. J. Umrigar, with him), for the respondent. 1950."
JUDGE,The judgment of the Court was delivered by MEHR CHAND MAHAJAN J.
RLC,This is an appeal against a judgment of the High Court of Judicature at Bombay in an income tax matter and it raises the question whether munici pal property tax and urban immoveable property tax payable under the relevant Bombay Acts are allowable deductions under section 9 (1) (iv) of the Indian Income tax Act. 
STATUTE,Deduction of these two sums was claimed under the provisions of section 9 the Act.
RLC,"Out of the first item a deduction in the sum of Rs. 48,572 was allowed on the ground that this item represented tenants ' burdens paid by the assessee, otherwise the claim was disallowed"
RLC,The High Court answered all the three questions in the negative and hence this appeal.
STATUTE,"The decision of the point depends firstly on the construction of the language employed in sub clause (iv) of sub section (1) of section 9 of the Act, and secondly, on a finding as to the true nature and character of the liability of the owner under the relevant Bombay Acts for the payment of these taxes. "
STATUTE,"Before the amending Act of 1939, clause (iv) contained only the first, third and fourth sub clauses. "
ARG,It is this sub clause which the appellant invokes in support of its claim to deduction of the municipal and urban property taxes in the present case. 
STATUTE,"Section 143 of the City of Bombay Municipal Act, 1888, authorises the levy of a general tax on all buildings and lands in the city. "
STATUTE,The primary responsibility to pay this property tax is on the lessor (vide section 146 of the Act). 
STATUTE,In order to assess the tax provision has been made for the determination of the annual rateable value of the building in section 154. 
STATUTE,"Section 156 provides for the maintenance of an assessment book in which entries have to be made every official year of all buildings in the city, their rateable value, the names of persons primarily liable for payment of the property tax on such buildings and of the amount for which each building has been assessed."
STATUTE,These sections lay down a procedure for hearing objections and complaints against entries in the assessment book. 
STATUTE,"Sections 143to 168 concern themselves with the imposition, liability and assessment of the tax for the year."
STATUTE,""" Section 197 provides that each of the property taxes shall be payable in 559 advance in half yearly instalments on each first day of April and each first day of October. "
STATUTE,"Finally section 212 provides as follows : ""Property taxes due under this Act in respect of any building or land shall, subject to the prior payment of the land revenue, if any, due to the provincial ,Government thereupon, be a first charge . . upon the said build ing or land . "" It creates a statutory charge on the building. "
STATUTE,"Urban immove able property tax is leviable under section 22 of Part VI of the Bombay Finance Act, 1932,on the annual letting value of the property. "
STATUTE,Section 24 (2) (b) is in terms similar to section 212 of the Bombay Municipal Act. 
STATUTE,"For the purposes of section 9 of the Indian Income tax Act both these taxes, namely, the munici pal property tax as well as the urban immoveable property tax are of the same character and stand on the same footing."
ARG,"Mr. Munshi, the learned counsel for the appellant con tended that both the taxes are assessed on the annual value of the land or the building and are annual taxes, although it may be that they are collected at intervals of six months for the sake of convenience, that the income tax itself is assessed on an annual basis, that in allowing deductions all payments made or all liabilities incurred during the previ ous year of assessment should be allowed and that the taxes in question fell clearly within the language of section 9 (1) (iv). "
ARG,"The learned Attorney General, on the other hand, argued that although the taxes are assessed for the year the liability to pay them arises at the beginning 560 of each half year and unless a notice of demand is issued and a bill presented there is no liability to pay them and that till then no charge under section 212 of the Act could possibly arise and that the liability to pay being half yearly in advance, the charge is not an annual charge. "
ARG,It was also suggested that the taxes were a capital charge in the sense of the property being security for the payment. 
NAME,"Mangan Lal Deoshi vs Mohammad Moinul Haoque & Others on 1 December, 1950"
CITATION,"Equivalent citations: 1951 AIR 11, 1950 SCR 833"
COUNSEL,"S.P. Sinha (P. K. Bose, with him) for the appel lant."
COUNSEL,"N.C. Chatterjee and Panchanan Ghosh (Chandra Narayan Naik, with them) for the respondent. 1950."
JUDGE,The Judgment of the Court was deliv ered by PATANJALI SASTRI J.
RLC,"The High Court was of opinion that, on a proper construction of the terms of the compromise, it did not fall under clause (d)."
RLC,"Mano har Lall J., who delivered the leading judgment, observed: ""It was a tripartite agreement embodied in the decree of the court and was, therefore, exempt from registration."
ARG,"If the matter had stood there, the learned Advocate for the appellant could not have seriously contested the position, but he vehemently argued that when the agreement was not to pay the same amount of royalty or commission as previously agreed to but an altered amount of royalty and commission, the document should be held to fall within the mischief of section 17 (1)(d)of the (1) P.C. 839 ."
NAME,"Sarju Pershad vs RAJA JWALESHWARI PRATAP NARAIN SINGH AND OTHERS on 14 November, 1950"
CITATION,"Equivalent citations: 1951 AIR 120, 1950 SCR 781"
COUNSEL,"100 782 M.C. Setalvad, Attorney General for India (Sri Narain And ley, with him), for the appellant."
COUNSEL,"P.L. Banerjee (H. J. Urnrigal, with him), for the respondents."
RLC,The trial Judge held in favour of the defendant on the last point mentioned above and negatived his other pleas.
RLC,"Against this decision, the defendant took an appeal to the High Court of Allahabad which was heard by a Division Bench consisting of Verma and York JJ."
RLC,"The learned Judges reversed the judgment of the trial Judge and dismissed the plaintiff 's suit on one ground only, viz., that the bond was not attested in the manner required by law and consequently could not rank as a mortgage bond; and as the suit was instituted beyond 6 years from the date of the bond, no money decree could be claimed by the plaintiff."
RLC,The trial Judge was to decide which of the two versions was correct and he ac cepted the story of the plaintiff and rejected that of the defendant.
RLC,"The learned Judges of the High Court in dealing with the appeal do observe, at the beginning of their discussions, that on a question of fact the appellate court should be slow to differ from the conclusions arrived at by the trial Judge who had seen and heard the witnesses; but in their opinion, this rule did not apply to the present case as the trial Judge here did not base his conclusions on the impres sions created in his mind by the witnesses who deposed before him."
RLC,"What the trial Judge relied upon, it is said, was not the demeanour of the witnesses as index of their credibility but upon the inherent improbability of the circumstances deposed to by the defendant 's witnesses."
RLC,"It is observed by the High Court that the trial Judge, when he found the defendant 's story to be improbable, should have considered whether or not there were improbable features in the plaintiff 's case also, and whether the evidence of the plaintiff and his servant Buddhu Lal merited credence at all."
RLC,The learned Judges of the High Court then proceed to examine and discuss at great length the different reasons put forward by the trial Judge in support of his finding that the defendant 's case was unreliable.
RLC,These reasons are held to be inconclusive and unsound and the High Court further found that the plaintiff 's story 788 as narrated by him and his servant is improbable and not worthy of belief.
RLC,"In our opinion, the High Court 's approach to the case has not been proper and its findings are unsupportable on the materials in the record."
RLC,Here was a case where the controversy related to a 'pure question of fact which had to be determined by weighing and appraising of conflicting oral testimony adduced by the parties.
RLC,"It cannot be denied that in estimating the value of oral testimony, the trial Judge, who sees and hears the witnesses, has an advantage which the appellate court does not possess."
RLC,The High Court was wrong in thinking that it would detract from the value to be attached to a trial Judge 's finding of fact if the Judge does not expressly base his conclusion upon the impressions he gathers from the demeanour of witnesses (1).
RLC,It is said by the High Court that in the mofussil districts in the United Provinces the Patwari is the person generally em ployed for drafting and scribing deeds.
NAME,"Sri Ranga Nilayam Rama Krishna Rao vs KANDOKORI CHELLAYAMMA alias MANGAMMA AND ANOTHER on 17 October, 1950"
CITATION,"Equivalent citations: 1953 AIR 425, 1950 SCR 806"
COUNSEL,"P. Somasundaram (V. V. Choudhry, with him) for the appellant."
COUNSEL,"V. Rangachari (K. Mangachari, with him) for the respond ents. 1950."
JUDGE,The Court delivered judgment as follows.
RLC,"These appeals were heard together by two learned Judges of the Madras High Court and they took the view that the judgment debtors ' application under the Madras Act was maintainable notwith standing the fact that the sale had been confirmed and full satisfaction of the decree recorded, and remitted the case to the trial Court for a finding on the following questions, namely (1) whether the applicants were agriculturists; and (2) if so, what would be the result of applying the provisions of Madras Act IV of 1938 to the decretal debt against them ? So far as regards the judgment debtors ' appeal against the order dismissing their application under Order XXI, rule 90, the Learned Judges were inclined to agree with the trial Court that the sale should stand but declined to pass final orders in the appeal on the ground that ""it would seriously prejudice the judgment debtors in the connected application for relief under section 19 of the Madras Act IV of 1938."
RLC,""" The Subordinate Judge answered the questions referred to him by the High Court on remand as follows : (1) The judgment debtors were not agriculturists and were not therefore entitled to the benefits of the Madras Act;and (2) If they were agriculturists, they were not liable to pay anything under the decree, as, in view of the provisions of the Act, the debt stood discharged on the date of sale."
RLC,"When however the matter came up before the learned Judges of the High Court, they reversed the first finding of the trial Court and held that the judgmentdebtors were agriculturists within the meaning of the 810 Act, and that the debt stood discharged in view of section 8 (2) of the Act."
RLC,"At the same time, they held that the sale was not liable to be set aside, and in this view dismissed one of the appeals and allowed the other."
RLC,""" The trial Court dismissed the latter petition on the ground that it was not maintainable, and the judgment debtors filed an appeal against the order."
RLC,The appeal as well as the review petition of the judgment debtors were heard together by the learned Judges who directed the decree holder 's counsel to elect whether his client would deposit the purchase money into Court or have the sale set aside.
RLC,"The decree holder applied for a short adjournment and ultimately on the 15th November, 1946, his counsel stated that his client wished to retain the property which he had purchased and to pay the purchase money into Court."
RLC,"Thereupon, he was directed to pay the sum of Rs. 21,000 together with interest within a months from that date."
RLC,"Subsequently, the appellant (decree holder) having obtained leave to appeal from the High Court preferred 811 these appeals before us."
RLC,"It may be stated here that along with the application for leave to appeal, the appellant had filed an application for excusing the delay in filing the former application which he accounted for mainly by refer ring to the proceedings for the review of the judgments in the previous appeals to the High Court."
RLC,This application was granted and the delay was condoned.
RLC,"As has been already stated, the main point arising in these appeals relates to the effect of the Madras Act upon this litigation."
RLC,"That Act was passed and came into effect in 1938, while the execution proceedings were still continu ing."
STATUTE,"The sections of the Act which are material for the purpose of these appeals are sections 3, 8 and 19."
STATUTE,Section 3 defines an agriculturist and has a proviso stating that in certain cases a person shall not be deemed to be an agricul turist.
STATUTE,"The other material sections 8 and 19 run as follows : ""8."
STATUTE,"Debts incurred before the 1st October, 1932, shall be scaled down in the manner mentioned hereunder, namely: (1) All interest outstanding on the 1st October, 1937, in favour of any creditor of an agriculturist whether the same be payable under law, custom or contract or under a decree of Court and whether the debt or other obligation has ripened into a decree or not, shall be deemed to be dis charged, and only the principal or such portion thereof as may be outstanding shall be deemed to be the amount repay able by the agriculturist on that date."
STATUTE,"(2) Where an agriculturist has paid to any creditor twice the amount of the principal whether by way of princi pal or interest or both, such debt including the principal, shall be deemed to be wholly discharged."
STATUTE,"(3) Where the sums repaid by way of principal or inter est or both fall short of twice the amount of the principal, such amount only as would make up this shortage, or the principal amount or such portion of the principal amount as is outstanding, whichever is smaller, shall be repayable."
STATUTE,"(4) Subject to the provisions of sections 22 to 25, nothing contained in sub sections (1), (2) and (8) shall be deemed to require the creditor to refund any sum which has been paid to him, or to increase the liability of a debtor to pay any sum in excess of the amount which would have been payable by him if this Act had not been passed."
STATUTE,of the proviso to section 3 of the Madras Act.
