Labels,Sentence
NAME,"Bhim Sen For R.S. Malik Mathra Das vs The State Of Punjabunion Of ... on 4 October, 1951"
Citations,"Equivalent citations: 1951 AIR 481, 1952 SCR 19"
,Criminal Appeals Nos. 45 to 49 of 1951.
,"Appeals from the judgments and orders dated 20th August, 1951, of the High Court of Judicature at Simla (Bhandari and Soni 33.) in Criminal Writ 'Cases Nos. 46 to 50 of 1951."
COUNSEL,"Jai Gopal Sethi (R. L. Kohli and Sri Ramkumar, with him) for the appellants in Cr."
COUNSEL,Appeals Nos. 45 and 49. 20 N.C. Chatterjoe (Hardyal Hardy and R.L. Kohli with him) for the appellant in Cr. Appeal No. 46.
COUNSEL,Hardyal Hardy for the appellant in Cr.
,Appeal No. 48.
COUNSEL,"S.M. S.M. Sikri, Advocate General of the Punjab (N. section Doabia."
COUNSEL,with him) for the respondent in all the appeals.
COUNSEL,"M.C. Setalvad, Attorney General for India (G. N. Joshi, with him) for the Intervener in Cr."
,Appeal No. 45.
,October 4.
JUDGE,The Judgment of the Court was delivered by KANIA C.J.
FACTS,These are five companion appeals from the judgments of the High Court of East Punjab and the principal point argued before us is as to the legality of the deten tion of the appellants under the Preventive Detention Act on the ground that they are engaged in black marketing in cotton piecegoods.
FACTS,The Jullundur Wholesale Cloth Syndicate was formed to work out the distribution of cloth under the Government of Punjab Control (Cloth) Order passed under the Essential Supplies Act.
FACTS,Certain persons who held licences as whole sale dealers in cloth formed themselves into a corporation and all cloth controlled by the Government was distributed in the district to the retail quota holders through them.
FACTS,The Government allotted quotas to the retailers and orders were issued by the Government for giving each retailer certain bales under the distribution control.
FACTS,"If some of the retail licence holders did not take delivery of the quotas allotted to them under the Notification of the 4th of October, 1950, issued by the Government of India, Department of Industries and Supplies, it was, inter alia, provided that the wholesale syndicate may give the bales not so lifted to another retail dealer."
FACTS,It may be noted that all along the price for the cloth to be sold wholesale and retail had been fixed under Government orders.
FACTS,The Syndi cate was suspected to be dealing in black market and had been warned against its activities by the District Magis trate of Jullundur several times.
FACTS,"On the 7th of June, 1951, 21 an order was issued by the District Organiser, Civil Sup plies and Rationing, Jullundur, to the managing agents of the wholesale cloth corporation, Jullundur City, intimating that they were strictly forbidden to dispose of any uplifted stock against unexpired terms without his prior permission in writing."
FACTS,"They were further directed that thenceforth no such stock would be allowed to be sold to an individual retailer, but permission would be granted to sell the same to associations of retailers only."
FACTS,"It was stated that this letter was not in accordance with clause 5 of the Notifica tion of the Government of India dated the 4th October, 1950, which authorized the wholesale syndicate to be at liberty to sell uplifted cloth to any other retailer or an association of retail dealers of the same district."
FACTS,It may be further noted that the Cotton Cloth Control Order was in operation even prior to 1950.
FACTS,For some time control on the distribu tion of cloth was lifted but the price remained under the control of the Government.
FACTS,During that time it has been alleged that the appellants and several others sold cloth at rates higher than those fixed by the Government.
FACTS,"Even when the distribution and price were both controlled, the manu facturing mills were allowed to sell at prices fixed by the Government a certain percentage of cloth which was not taken by the Government under its control."
FACTS,This was described as free sale cloth and it was alleged that the appellants and several others were doing black marketing in this free sale cloth.
RLC,"By an order passed by the District Magistrate on 19th June, 1951, he directed that the appellants be detained under section 3 (2) of the Preventive Detention Act to prevent them from acting in a manner prejudicial to the maintenance of supplies of cloth, essential to the communi ty."
RLC,"On the 2nd July, 1951, the District Magistrate, Jullun dur, directed that the appellants be committed to District Jail, Jullundur, from the 2nd July until the 1st October, 1951."
RLC,The appellants were detained accordingly.
FACTS,The grounds for their detention were given to them on the morn ing of the 6th July.
FACTS,The grounds set out the activities of 22 the appellants as managing agents or partners in different firms or employees of the said firms or corporations.
